dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
1717200000,2,185.25,0.0,5.14,65.8,2.53,5.8,6.45,0.23
1717203600,2,181.91,0.0,4.76,62.23,2.44,5.72,6.34,0.22
1717207200,2,178.58,0.0,4.54,61.51,2.53,5.51,6.16,0.23
1717210800,2,178.58,0.01,4.54,65.09,2.74,5.23,5.94,0.26
1717214400,2,180.24,0.16,4.54,68.66,3.04,4.93,5.66,0.33
1717218000,2,183.58,0.59,5.4,65.8,3.78,4.73,5.49,0.54
1717221600,2,190.26,1.37,6.68,62.23,4.89,4.58,5.41,0.8
1717225200,2,190.26,1.63,6.68,67.23,5.42,4.45,5.34,0.85
1717228800,2,185.25,1.37,5.44,72.24,5.19,4.54,5.44,0.79
1717232400,2,180.24,1.05,4.41,80.11,4.77,4.79,5.65,0.68
1717236000,2,181.91,0.26,2.78,97.27,2.5,4.0,4.56,0.4
1717239600,3,185.25,0.24,2.29,104.43,2.0,3.32,3.84,0.34
1717243200,3,185.25,0.3,2.08,107.29,1.88,3.5,4.06,0.3
1717246800,3,185.25,0.44,2.61,107.29,2.47,3.94,4.6,0.33
1717250400,3,188.59,0.61,3.64,104.43,3.16,4.34,5.18,0.37
1717254000,3,190.26,0.76,4.8,103.0,3.46,4.63,5.63,0.38
1717257600,2,193.6,0.78,6.43,97.27,3.87,4.91,6.04,0.43
1717261200,2,195.26,0.57,8.05,87.26,4.41,5.03,6.29,0.51
1717264800,2,196.93,0.23,9.34,77.96,4.89,5.04,6.31,0.6
1717268400,2,195.26,0.05,9.08,72.24,4.77,5.0,6.2,0.64
1717272000,2,190.26,0.0,7.71,67.95,4.17,4.96,5.97,0.74
1717275600,2,185.25,0.0,6.6,65.8,3.61,5.01,5.81,0.79
1717279200,2,181.91,0.0,5.74,66.52,3.22,5.15,5.78,0.71
1717282800,2,178.58,0.0,5.14,67.23,3.04,5.3,5.85,0.56
1717286400,2,176.91,0.0,4.63,65.09,2.89,5.27,5.74,0.45
1717290000,2,175.24,0.0,4.63,61.51,3.07,5.08,5.53,0.42
1717293600,1,175.24,0.0,5.01,57.94,3.58,4.8,5.25,0.44
1717297200,1,175.24,0.0,5.57,57.94,4.11,4.59,5.06,0.49
1717300800,2,178.58,0.04,5.83,63.66,4.17,4.37,4.79,0.48
1717304400,2,183.58,0.15,6.6,65.8,4.41,4.24,4.65,0.52
1717308000,2,188.59,0.42,7.54,63.66,4.77,4.11,4.56,0.59
1717311600,2,188.59,0.84,7.28,64.37,5.07,3.85,4.33,0.69
1717315200,2,186.92,0.94,6.43,68.66,5.25,3.52,4.01,0.82
1717318800,2,186.92,0.85,5.27,77.96,4.89,3.35,3.83,0.82
1717322400,2,183.58,0.21,2.87,90.12,2.5,2.31,2.58,0.44
1717326000,2,181.91,0.24,2.23,91.55,2.09,1.44,1.68,0.37
1717329600,2,180.24,0.31,2.01,92.98,2.0,1.27,1.53,0.38
1717333200,2,180.24,0.33,1.95,95.84,2.09,1.45,1.81,0.41
1717336800,2,180.24,0.32,1.99,98.71,2.06,1.72,2.18,0.4
1717340400,2,180.24,0.32,2.12,98.71,2.0,1.77,2.2,0.38
1717344000,2,181.91,0.39,2.96,95.84,2.59,1.72,2.13,0.44
1717347600,2,185.25,0.47,4.63,89.41,3.81,1.61,2.09,0.62
1717351200,2,188.59,0.34,6.25,82.97,4.83,1.45,2.0,0.78
1717354800,2,205.28,0.18,10.28,63.66,5.54,1.53,2.22,1.04
1717358400,1,236.99,0.02,16.28,38.98,6.62,1.95,2.93,1.41
1717362000,1,277.04,0.08,22.96,21.46,8.23,2.69,4.11,1.36
1717365600,1,297.07,0.28,27.42,11.18,9.3,3.67,5.57,1.17
1717369200,1,290.39,0.53,26.73,7.33,8.94,4.16,6.42,0.91
1717372800,1,263.69,0.55,22.96,6.62,7.75,3.88,6.43,0.68
1717376400,1,223.64,0.34,16.62,9.66,6.2,2.98,5.8,0.57
1717380000,1,195.26,0.15,12.0,14.31,5.66,2.19,4.82,0.53
1717383600,1,185.25,0.3,10.37,15.56,6.02,1.98,4.17,0.48
1717387200,1,186.92,1.51,9.68,18.78,6.97,2.17,4.24,0.51
1717390800,1,208.62,3.63,10.71,23.25,8.58,2.51,4.82,0.85
1717394400,1,230.31,5.92,12.85,29.33,11.09,2.8,5.52,1.33
1717398000,2,196.93,1.3,7.2,73.67,7.75,1.53,2.84,0.82
1717401600,2,188.59,0.85,4.93,80.82,5.78,1.05,1.87,0.61
1717405200,2,186.92,0.77,4.46,81.54,5.48,0.96,1.73,0.58
1717408800,2,185.25,0.64,4.11,82.25,5.07,0.88,1.57,0.55
1717412400,2,183.58,0.49,4.03,82.25,4.53,0.86,1.45,0.52
1717416000,2,185.25,0.38,4.33,82.97,4.47,0.96,1.46,0.49
1717419600,2,185.25,0.32,4.41,82.25,4.17,0.86,1.3,0.46
1717423200,2,185.25,0.29,4.24,81.54,3.7,0.58,0.97,0.44
1717426800,2,186.92,0.23,4.11,85.12,3.28,0.5,0.86,0.44
1717430400,2,190.26,0.16,5.27,85.12,4.11,0.5,1.02,0.55
1717434000,2,195.26,0.09,6.51,82.25,5.25,0.5,1.38,0.73
1717437600,2,196.93,0.03,7.03,77.96,5.6,0.64,1.75,0.84
1717441200,2,200.27,0.02,7.2,78.68,5.84,0.92,2.34,0.93
1717444800,2,196.93,0.0,6.08,84.4,5.25,1.17,3.0,0.89
1717448400,2,191.93,0.0,5.18,85.12,4.65,1.49,3.34,0.8
1717452000,2,185.25,0.0,4.5,79.39,4.05,1.24,2.42,0.7
1717455600,2,183.58,0.0,4.37,70.1,3.99,1.06,2.08,0.67
1717459200,2,181.91,0.0,4.46,66.52,4.11,1.23,2.42,0.63
1717462800,2,181.91,0.0,4.46,67.95,4.17,1.38,2.84,0.61
1717466400,2,183.58,0.0,4.37,69.38,4.11,1.33,3.02,0.63
1717470000,2,186.92,0.02,4.37,68.66,4.11,1.16,2.92,0.7
1717473600,2,186.92,0.2,4.33,67.23,4.29,1.01,2.72,0.8
1717477200,2,188.59,0.57,4.41,65.09,4.41,0.92,2.46,0.92
1717480800,2,190.26,0.95,4.28,64.37,4.17,0.82,2.07,0.87
1717484400,2,188.59,1.03,3.81,68.66,3.87,0.78,1.82,0.71
1717488000,2,186.92,1.01,3.47,75.1,3.93,0.81,1.81,0.64
1717491600,2,186.92,0.89,3.21,83.68,3.93,0.8,1.73,0.59
1717495200,2,185.25,0.8,3.04,91.55,3.93,0.79,1.65,0.54
1717498800,2,185.25,0.75,2.96,94.41,3.99,0.82,1.66,0.53
1717502400,2,185.25,0.79,3.08,92.98,4.29,0.86,1.72,0.56
1717506000,2,185.25,0.81,3.26,92.98,4.53,0.95,1.88,0.59
1717509600,2,185.25,0.8,3.43,91.55,4.53,1.01,2.01,0.63
1717513200,2,185.25,0.78,3.81,91.55,4.47,0.93,1.96,0.66
1717516800,2,185.25,0.74,4.2,90.12,4.47,0.85,1.95,0.67
1717520400,2,186.92,0.64,4.5,87.26,4.59,0.88,2.23,0.67
1717524000,2,186.92,0.43,4.8,82.97,4.59,0.94,2.49,0.68
